Site Id,Name,Met_Office_Id,Latitude,Longitude,Elevation
d7070633-701d-e811-a6d2-9cb6d0e28a40,HIERRO AEROPUERTO,60001,27.818889,-17.888889,32
da070633-701d-e811-a6d2-9cb6d0e28a40,LA PALMA AEROPUERTO,60005,28.633056,-17.755,31
dd070633-701d-e811-a6d2-9cb6d0e28a40,LA GOMERA AEROPUERTO,60007,28.029722,-17.214444,225
e0070633-701d-e811-a6d2-9cb6d0e28a40,IZANA,60010,28.308889,-16.499444,2368
e3070633-701d-e811-a6d2-9cb6d0e28a40,TENERIFE LOS RODEOS,60015,28.4775,-16.329444,617
e6070633-701d-e811-a6d2-9cb6d0e28a40,TENERIFE-GUIMAR,60018,28.318333,-16.382222,0
e9070633-701d-e811-a6d2-9cb6d0e28a40,STA. CRUZ DE TENERIFE,60020,28.455,-16.248889,36
ec070633-701d-e811-a6d2-9cb6d0e28a40,TENERIFE SUR,60025,28.0475,-16.560833,77
ef070633-701d-e811-a6d2-9cb6d0e28a40,ARTENARA,60028,28.018611,-15.614444,0
f2070633-701d-e811-a6d2-9cb6d0e28a40,LAS PALMAS DE GRAN CANARIA GANDO,60030,27.9225,-15.389444,47
e3d97d39-701d-e811-a6d2-9cb6d0e28a40,LAAYOUNE,60033,27.166667,-13.216667,64
e6d97d39-701d-e811-a6d2-9cb6d0e28a40,FUERTEVENTURA AEROPUERTO,60035,28.444722,-13.863056,30
e9d97d39-701d-e811-a6d2-9cb6d0e28a40,LANZAROTE AEROPUERTO,60040,28.951944,-13.600278,21
ecd97d39-701d-e811-a6d2-9cb6d0e28a40,SIDI IFNI,60060,29.366667,-10.183333,50
efd97d39-701d-e811-a6d2-9cb6d0e28a40,DAKHLA ,60096,23.711111,-15.930833,8.71
f2d97d39-701d-e811-a6d2-9cb6d0e28a40,TANGER-PORT,60100,35.787778,-5.806667,11
f5d97d39-701d-e811-a6d2-9cb6d0e28a40,TANGER AERODROME,60101,35.726389,-5.905556,14
